source_ordering,neighborhood_id,neighborhood_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
74,57,King Field,KINGFIELD,350,1.9,251,38,6,7,46,71.7,10.9,1.7,2,13.1,244,69.7,106,30.3,<=5,*,7,2,222,63.4,116,33.1,52,15,37,10.7,257,74.3,30,304,9,91,326,24,93.1,6.9,299,30,<=5,<=5,89.8,9,*,*,264,32,<=5,<=5,88,10.7,*,*
75,55,Linden Hills,LINDEN HILLS,309,1.7,271,18,<=5,10,<=5,87.7,5.8,*,3.2,*,268,86.7,41,13.3,<=5,*,<=5,*,203,65.7,104,33.7,<=5,*,22,7.2,283,92.5,25,273,8.4,91.6,294,15,95.1,4.9,269,24,<=5,0,90.6,8.1,*,0,249,29,<=5,0,88.3,10.3,*,0
76,37,Lynnhurst,LYNHURST,227,1.2,192,15,0,13,<=5,84.6,6.6,0,5.7,*,210,92.5,17,7.5,0,0,0,0,117,51.5,110,48.5,<=5,*,9,4,211,94.2,20,193,9.4,90.6,213,14,93.8,6.2,189,16,<=5,0,91.3,7.7,*,0,166,21,<=5,0,87.8,11.1,*,0
77,32,Tangletown,TANGLETOWN,147,0.8,90,40,0,6,6,61.2,27.2,0,4.1,4.1,104,71.7,41,28.3,<=5,*,<=5,*,97,66,47,32,9,6.4,23,16.4,108,77.1,11,130,7.8,92.2,139,8,94.6,5.4,132,10,<=5,0,91,6.9,*,0,108,14,<=5,0,86.4,11.2,*,0
78,14,Windom,WINDOM,261,1.4,138,73,<=5,10,36,52.9,28,*,3.8,13.8,153,58.6,108,41.4,9,3.4,7,2.7,197,75.5,48,18.4,38,14.8,62,24.1,157,61.1,32,220,12.7,87.3,239,22,91.6,8.4,217,30,<=5,<=5,86.1,11.9,*,*,191,30,<=5,<=5,84.1,13.2,*,*
79,19,Cedar Riverside,CEDAR RIVERSIDE,351,1.9,15,301,0,18,14,4.3,85.8,0,5.1,4,178,50.7,173,49.3,6,1.7,6,1.7,279,79.5,60,17.1,141,41.6,151,44.5,47,13.9,28,308,8.3,91.7,322,29,91.7,8.3,242,80,18,0,71.2,23.5,5.3,0,177,88,23,0,61.5,30.6,8,0
80,18,Como,COMO,270,1.5,103,73,11,68,12,38.1,27,4.1,25.2,4.4,220,81.5,50,18.5,<=5,*,<=5,*,233,86.3,34,12.6,15,5.6,42,15.8,209,78.6,22,239,8.4,91.6,257,13,95.2,4.8,206,44,11,0,78.9,16.9,4.2,0,171,51,14,0,72.5,21.6,5.9,0
81,79,Marcy Holmes,MARCY HOLMES,111,0.6,56,17,6,14,15,50.5,15.3,5.4,12.6,13.5,73,65.8,38,34.2,<=5,*,<=5,*,93,83.8,13,11.7,15,13.5,24,21.6,72,64.9,7,98,6.7,93.3,107,<=5,96.4,*,81,22,<=5,0,76.4,20.8,*,0,69,20,<=5,0,75,21.7,*,0
82,59,Mid - City Industrial,MID-CITY INDUSTRIALNEIGHB,6,0,<=5,0,0,<=5,0,*,0,0,*,0,<=5,*,<=5,*,0,0,0,0,<=5,*,<=5,*,0,0,<=5,*,<=5,*,<=5,<=5,*,*,<=5,<=5,*,*,6,0,0,0,100,0,0,0,6,0,0,0,100,0,0,0
83,78,Nicollet Island - East Bank,NICOLLET ISLAND- EAST,29,0.2,22,<=5,0,<=5,<=5,75.9,*,0,*,*,23,79.3,6,20.7,0,0,0,0,16,55.2,13,44.8,0,0,<=5,*,28,96.6,<=5,26,*,92.9,27,<=5,93.1,*,26,<=5,0,0,96.3,*,0,0,24,0,0,0,100,0,0,0
84,20,Prospect Park - East River Road,PROSPECT PARK E- RIVER,240,1.3,99,48,16,11,64,41.3,20,6.7,4.6,26.7,122,50.8,118,49.2,<=5,*,11,4.6,185,77.1,39,16.3,78,32.8,44,18.5,116,48.7,23,195,10.6,89.4,226,14,94.2,5.8,185,34,6,<=5,81.5,15,2.6,*,159,33,7,<=5,79.1,16.4,3.5,*
85,21,University of Minnesota,U of M,54,0.3,40,7,0,<=5,<=5,74.1,13,0,*,*,41,75.9,13,24.1,0,0,0,0,36,66.7,18,33.3,<=5,*,<=5,*,45,83.3,<=5,45,*,90,51,<=5,94.4,*,45,<=5,<=5,0,90,*,*,0,40,6,<=5,0,85.1,12.8,*,0
86,,,UNKNOWN,39,0.2,11,12,<=5,6,<=5,28.2,30.8,*,15.4,*,15,38.5,24,61.5,<=5,*,<=5,*,29,74.4,7,17.9,11,29.7,11,29.7,15,40.5,<=5,31,*,86.1,34,<=5,87.2,*,25,<=5,<=5,0,73.5,*,*,0,19,7,<=5,0,63.3,23.3,*,0
