source_ordering,neighborhood_id,neighborhood_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
71,56,East Harriet,EAST HARRIET,119,0.6,97,8,<=5,7,<=5,81.5,6.7,*,5.9,*,92,77.3,27,22.7,0,0,<=5,*,68,57.1,49,41.2,<=5,*,9,7.6,108,91.5,19,99,16.1,83.9,112,7,94.1,5.9,103,10,<=5,0,89.6,8.7,*,0,99,<=5,0,0,95.2,*,0,0
72,36,Fulton,FULTON,294,1.6,261,<=5,0,10,13,88.8,*,0,3.4,4.4,265,90.1,29,9.9,<=5,*,<=5,*,190,64.6,101,34.4,<=5,*,13,4.5,273,94.8,41,251,14,86,265,28,90.4,9.6,274,9,<=5,0,95.5,3.1,*,0,236,14,<=5,0,93.3,5.5,*,0
73,70,Kenny,KENNY,189,1,171,<=5,0,6,<=5,90.5,*,0,3.2,*,173,91.5,16,8.5,0,0,<=5,*,143,75.7,45,23.8,<=5,*,<=5,*,178,96.2,19,170,10.1,89.9,176,13,93.1,6.9,172,7,<=5,0,95,3.9,*,0,153,7,<=5,0,94.4,4.3,*,0
74,57,King Field,KINGFIELD,346,1.9,242,32,8,10,47,69.9,9.2,2.3,2.9,13.6,233,67.3,113,32.7,6,1.7,<=5,*,226,65.3,109,31.5,46,13.5,51,15,244,71.6,26,318,7.6,92.4,324,22,93.6,6.4,300,31,<=5,<=5,89,9.2,*,*,257,34,<=5,<=5,86.2,11.4,*,*
75,55,Linden Hills,LINDEN HILLS,289,1.6,262,10,<=5,8,<=5,90.7,3.5,*,2.8,*,251,86.9,38,13.1,<=5,*,<=5,*,179,61.9,106,36.7,<=5,*,22,7.7,262,91.9,26,263,9,91,274,15,94.8,5.2,264,16,<=5,0,93,5.6,*,0,235,22,<=5,0,90.4,8.5,*,0
76,37,Lynnhurst,LYNNHURST,231,1.3,196,17,0,10,<=5,84.8,7.4,0,4.3,*,213,92.2,18,7.8,0,0,<=5,*,121,52.4,109,47.2,7,3.1,14,6.2,205,90.7,18,213,7.8,92.2,223,8,96.5,3.5,207,14,<=5,<=5,92.8,6.3,*,*,172,20,<=5,<=5,88.7,10.3,*,*
77,32,Tangletown,TANGLETOWN,161,0.9,133,8,<=5,<=5,9,82.6,5,*,*,5.6,133,83.6,26,16.4,<=5,*,<=5,*,91,56.5,66,41,8,5.1,9,5.7,141,89.2,11,150,6.8,93.2,153,8,95,5,150,10,0,0,93.8,6.3,0,0,127,10,<=5,0,92,7.2,*,0
78,14,Windom,WINDOM,285,1.5,140,85,<=5,10,41,49.1,29.8,*,3.5,14.4,142,49.8,143,50.2,10,3.5,18,6.3,221,77.5,36,12.6,47,16.9,80,28.8,151,54.3,35,250,12.3,87.7,261,24,91.6,8.4,238,36,<=5,0,85.3,12.9,*,0,195,38,6,0,81.6,15.9,2.5,0
79,19,Cedar Riverside,CEDAR RIVERSIDE,380,2.1,15,322,<=5,15,24,3.9,84.7,*,3.9,6.3,194,51.1,186,48.9,6,1.6,7,1.8,305,80.3,62,16.3,147,39.9,170,46.2,51,13.9,29,350,7.7,92.3,350,30,92.1,7.9,267,86,19,0,71.8,23.1,5.1,0,194,93,20,0,63.2,30.3,6.5,0
80,18,Como,COMO,235,1.3,91,54,10,72,6,38.7,23,4.3,30.6,2.6,188,80,47,20,<=5,*,<=5,*,204,86.8,27,11.5,10,4.3,33,14.2,189,81.5,23,212,9.8,90.2,224,10,95.7,4.3,194,32,6,0,83.6,13.8,2.6,0,161,36,10,0,77.8,17.4,4.8,0
81,79,Marcy Holmes,MARCY HOLMES,113,0.6,47,20,7,19,19,41.6,17.7,6.2,16.8,16.8,71,62.8,42,37.2,<=5,*,<=5,*,95,84.1,15,13.3,19,17,27,24.1,66,58.9,10,103,8.8,91.2,107,6,94.7,5.3,84,20,<=5,0,77.8,18.5,*,0,73,15,<=5,0,79.3,16.3,*,0
82,59,Mid - City Industrial,MID-CITY INDUSTRIALNEIGHB,6,0,6,0,0,0,0,100,0,0,0,0,<=5,*,<=5,*,0,0,0,0,<=5,*,<=5,*,0,0,0,0,6,100,<=5,<-5,*,*,<=5,<=5,*,*,6,0,0,0,100,0,0,0,6,0,0,0,100,0,0,0
83,78,Nicollet Island - East Bank,NICOLLET ISLAND- EAST,26,0.1,20,<=5,0,<=5,<=5,76.9,*,0,*,*,20,76.9,6,23.1,0,0,0,0,16,61.5,10,38.5,0,0,<=5,*,24,92.3,<=5,24,*,92.3,24,<=5,92.3,*,24,0,0,0,100,0,0,0,21,0,0,0,100,0,0,0
84,20,Prospect Park - East River Road,PROSPECT PARK E- RIVER,120,0.6,59,42,<=5,13,<=5,49.2,35,*,10.8,*,82,68.3,38,31.7,0,0,<=5,*,94,78.3,24,20,16,13.4,31,26.1,72,60.5,<=5,115,*,95.8,114,6,95,5,103,14,<=5,<=5,85.8,11.7,*,*,81,14,<=5,<=5,83.5,14.4,*,*
85,21,University of Minnesota,U of M,<=5,*,<=5,<=5,0,0,0,*,*,0,0,0,<=5,*,<=5,*,0,0,0,0,<=5,*,<=5,*,0,0,<=5,*,<=5,*,0,<=5,0,*,<=5,0,*,0,<=5,<=5,<=5,0,*,*,*,0,<=5,<=5,<=5,0,*,*,*,0
86,,,UNKNOWN,38,0.2,11,15,<=5,<=5,<=5,28.9,39.5,*,*,*,13,34.2,25,65.8,0,0,<=5,*,32,84.2,<=5,*,8,22.2,13,36.1,15,41.7,8,29,21.6,78.4,31,7,81.6,18.4,28,<=5,<=5,0,84.8,*,*,0,22,<=5,<=5,0,75.9,*,*,0
