data_source_ordering,city_gis_neighborhood_id,city_gis_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
32,5,Sumner - Glenwood,SUMNER- GLENWOOD,136,0.7,10,112,0,9,<=5,7.4,82.4,0,6.6,*,53,39,83,61,<=5,*,12,8.8,111,81.6,11,8.1,36,28.1,42,32.8,50,39.1,11,125,8.1,91.9,128,8,94.1,5.9,97,22,<=5,0,79.5,18,*,0,68,26,<=5,0,69.4,26.5,*,0
33,24,Willard - Hay,WILLARD-HAY,496,2.6,70,292,10,77,35,14.1,58.9,2,15.5,7.1,140,28.2,356,71.8,37,7.5,57,11.5,351,70.8,51,10.3,125,26.5,165,35,182,38.6,55,441,11.1,88.9,449,47,90.5,9.5,296,85,24,6,70.3,22.6,5.7,1.4,201,94,39,6,59.1,27.6,11.5,1.4
34,30,Diamond Lake,DIAMOND LAKE,267,1.4,212,19,<=5,6,25,79.4,7.1,*,2.2,9.4,216,80.9,51,19.1,<=5,*,9,3.4,176,65.9,80,30,13,5,33,12.6,216,82.4,34,233,12.7,87.3,248,19,92.9,7.1,242,17,<=5,<=5,92,6.5,*,*,209,21,<=5,<=5,88.6,8.9,*,*
35,15,Ericsson,ERICSSON,178,0.9,154,6,<=5,<=5,11,86.5,3.4,*,*,6.2,139,78.1,39,21.9,<=5,*,0,0,138,77.5,39,21.9,14,8,15,8.5,147,83.5,23,155,12.9,87.1,161,17,90.4,9.6,160,13,<=5,0,90.9,7.4,*,0,128,17,<=5,0,85.9,11.4,*,0
36,16,Field,FIELD,107,0.6,80,7,<=5,<=5,11,74.8,6.5,*,*,10.3,87,81.3,20,18.7,0,0,<=5,*,74,69.2,32,29.9,8,7.5,14,13.2,84,79.2,11,96,10.3,89.7,102,<=5,95.3,*,97,6,<=5,0,92.4,5.7,*,0,79,11,<=5,0,86.8,12.1,*,0
37,34,Hale,HALE,177,0.9,158,<=5,<=5,<=5,9,89.3,*,*,*,5.1,155,87.6,22,12.4,<=5,*,<=5,*,114,64.4,57,32.2,6,3.4,20,11.3,151,85.3,8,169,4.5,95.5,168,9,94.9,5.1,165,<=5,<=5,0,95.4,*,*,0,136,7,<=5,0,92.5,4.8,*,0
38,35,Keewaydin,KEEWAYDIN,146,0.8,129,<=5,<=5,<=5,7,88.4,*,*,*,4.8,121,82.9,25,17.1,<=5,*,<=5,*,103,70.5,38,26,<=5,*,18,12.3,123,84.2,13,133,8.9,91.1,136,10,93.2,6.8,136,<=5,<=5,<=5,94.4,*,*,*,112,8,0,<=5,92.6,6.6,0,*
39,29,Minnehaha,MINNEHAHA,190,1,147,13,<=5,11,10,77.4,6.8,*,5.8,5.3,147,77.4,43,22.6,<=5,*,<=5,*,132,69.5,51,26.8,10,5.4,29,15.8,145,78.8,16,174,8.4,91.6,182,8,95.8,4.2,163,19,<=5,<=5,88.6,10.3,*,*,129,24,<=5,<=5,83.2,15.5,*,*
40,58,Morris Park,MORRIS PARK,150,0.8,103,11,<=5,<=5,30,68.7,7.3,*,*,20,99,66,51,34,<=5,*,<=5,*,119,79.3,25,16.7,22,15,28,19,97,66,14,136,9.3,90.7,138,12,92,8,131,13,<=5,<=5,88.5,8.8,*,*,105,17,<=5,<=5,82,13.3,*,*
41,51,Northrop,NORTHRUP,245,1.3,197,9,<=5,6,24,80.4,3.7,*,2.4,9.8,200,81.6,45,18.4,0,0,7,2.9,176,71.8,62,25.3,21,8.8,24,10,195,81.3,28,217,11.4,88.6,228,17,93.1,6.9,223,14,<=5,0,92.5,5.8,*,0,187,19,<=5,0,88.6,9,*,0
